smiles,-logKd/Ki
CC(C)CC([NH3+])C(=O)NCC(=O)NC(CCCC[NH3+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCC[NH3+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(Cc1cnc[nH]1)C(=O)[O-],5.77
CC(=O)NCC(=O)NC(CO)C(=O)NC(C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(C)C(=O)NC(CCC(=O)[O-])C(=O)NC(C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CC(C)C)C(=O)[O-])C(C)C,5.77
C[NH2+]CCCCC(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C([NH3+])Cc1cnc[nH]1)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[O-])C(C)C,5.82
CC(C)CC(NC(=O)C(CCCC[NH3+])NC(=O)C(CCCC[NH3+])NC(=O)C([NH3+])Cc1c[nH]cn1)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CS)C(=O)NC(CO)C(=O)NC(CO)C(=O)[O-])C(C)O,6.15
[NH3+]C(Cc1c[nH]cn1)C(=O)[O-],6.3
[NH3+]C(Cc1c[nH]cn1)C(=O)[O-],6.38
CC(C)CC(NC(=O)C(NC(=O)C(CCCC[N+](C)(C)C)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1c[nH]cn1)NC(=O)C([NH3+])CCCNC(N)=[NH2+])C(C)C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)O,6.4
CC(C)CC(NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CCC(=O)[O-])NC(=O)C(NC(=O)C(C)NC(=O)C(NC(=O)C([NH3+])Cc1c[nH]cn1)C(C)C)C(C)C)C(=O)[O-],6.41
CCCn1cnc(CC(CCC[NH3+])C(=O)[O-])c1,6.69
CSCCC(NC(=O)CNC(=O)C([NH3+])C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)NC(CCCC[NH3+])C(=O)NCC(=O)NC(C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(C)C(=O)[O-])C(C)O)C(C)O,6.8
CC([NH3+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(C)C(=O)NC(CCC(=O)[O-])C(=O)NC(C(=O)NC(Cc1c[nH]cn1)C(=O)[O-])C(C)C,6.85
[NH3+]CCCCC([NH3+])C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CCCC[NH3+])C(=O)[O-],6.89
CCC(C)C(NC(=O)C(C)[NH3+])C(=O)NC(CC(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(C)C(=O)[O-],7.12
[NH3+]C(Cc1c[nH]cn1)C(=O)[O-],7.19
CCC(C)C(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C[NH3+])C(C)C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCC[NH3+])C(=O)NC(CCCC[NH3+])C(=O)NC(CCSC)C(=O)NC(C(=O)[O-])C(C)C,7.28
CC(CCOc1nccn1C)[NH+](C)C,7.349999999999999
CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(CC(=O)[O-])NC(=O)C(CC(=O)[O-])NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CC(C)C)NC(=O)C([NH3+])C(C)C)C(=O)NC(CCC(=O)[O-])C(=O)NC(C)C(=O)[O-],7.36
CC(C)CC(NC(=O)C(NC(=O)C([NH3+])CO)C(C)C)C(=O)NCC(=O)NC(CCCC[NH3+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCC[NH3+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(Cc1cnc[nH]1)C(=O)[O-],7.599999999999999
CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(CC(=O)[O-])NC(=O)C(CC(=O)[O-])NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CC(C)C)NC(=O)C([NH3+])C(C)C)C(=O)NC(CCC(=O)[O-])C(=O)NC(C)C(=O)[O-],7.66
[NH3+]C(Cc1c[nH]cn1)C(=O)[O-],7.66
[NH3+]C(Cc1c[nH]cn1)C(=O)[O-],7.66
Cc1ncc([N+](=O)[O-])n1CCNS(N)(=O)=O,8.0
CC(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(C(=O)NC(C)C(=O)NC(C(=O)NC(CCC(=O)[O-])C(=O)NC(CC(N)=O)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)[O-])C(C)C)C(C)C,8.0
CC(C)CC(NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CCC(=O)[O-])NC(=O)C(NC(=O)C(C)NC(=O)C(NC(=O)C(Cc1c[nH]cn1)NC(=O)C([NH3+])CO)C(C)C)C(C)C)C(=O)[O-],8.0
CC(C)CC(NC(=O)C(CC(=O)[O-])NC(=O)CNC(=O)C(CCCNC(N)=[NH2+])NC(=O)CNC(=O)C(Cc1c[nH]cn1)NC=O)C(=O)NCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CC(C)C)C(=O)NC(CCCC[NH3+])C(=O)NC(CCCC[NH3+])C(N)=O,8.07
[NH3+]CCc1cnc[nH]1,8.15
[NH3+]CCc1c[nH]cn1,8.769999999999998
